Age_physical_avg_min,PRESSURE,TEMPERATURE,RHUM,SZA,JNO2_NO_O3P,JHNO2_OH_NO,JH2O2_2OH,JHNO3_OH_NO2,JO3_O2_O1D,JCH2O_H_HCO,JCH2O_H2_CO,JNO3_NO_O2,JNO3_NO2_O_3P
59.14046062,616.752888888889,276.863248233333,48.0296415555556,36.1571747755556,0.01262492,0.0020866382222222,1.02852911111111e-05,8.28148188888889e-07,4.41876422222222e-05,4.76830133333333e-05,7.47050144444444e-05,0.0265342066666667,0.222386633333333
78.77311692,664.946664894737,283.662119847368,31.9804498947368,53.8162894421053,0.0051253175052631,0.0007529217894736,2.74918481052632e-06,1.71103465263158e-07,7.27487223157895e-06,1.10576926315789e-05,2.07050472631579e-05,0.0220954057894737,0.173671531578947
87.01855717,585.294311428571,274.5106009,38.9491575714286,30.7533557871429,0.0118572671428571,0.0019365035714285,9.31678128571428e-06,7.55344928571429e-07,4.16174228571429e-05,4.31385128571429e-05,6.77298071428571e-05,0.0264673171428571,0.222508671428571
92.10075647,641.999381,280.753704685714,28.9665917142857,38.2769428542857,0.0085865516428571,0.0013074716428571,5.28613057142857e-06,3.80038857142857e-07,1.91732492857143e-05,2.24431278571429e-05,3.870859e-05,0.0272032621428571,0.224429471428571
92.76690928,664.845075142857,283.370006757143,29.706339,31.5868492457143,0.0130326085714286,0.0021125435714285,1.04311814285714e-05,8.60440428571429e-07,4.67902842857143e-05,4.723523e-05,7.40275057142857e-05,0.02915948,0.245631614285714
96.30832484,665.24584975,283.481632025,19.22687675,32.0131844825,0.01178656625,0.001875232875,8.759825125e-06,6.9954255e-07,3.742832125e-05,3.89206075e-05,6.25618025e-05,0.02964780125,0.24753855
104.3490297,665.2200545625,283.1973428375,27.165329,32.6838196625,0.01181915125,0.001909816125,9.254578e-06,7.530405125e-07,4.05898575e-05,4.1685560625e-05,6.5926814375e-05,0.027265393125,0.22913514375
110.6422822,648.2486938,281.7864431,28.1510285,57.745169505,0.00056638008,6.6454566e-05,1.6137539e-07,7.0275269e-09,2.5732981e-07,5.0494207e-07,1.1812501e-06,0.0080831397,0.055901824
111.584449,642.061076681818,280.971187718182,31.0751231818182,39.557471895,0.0105750898636364,0.0016559720454545,7.12733795454545e-06,5.28861181818182e-07,2.68359531818182e-05,3.10195318181818e-05,5.21826195454545e-05,0.0279193322727273,0.235090509090909
122.9750998,665.1663698,283.5381633,26.343203,57.536879756,0.0014880432,0.00019734584,5.733328e-07,2.8953986e-08,1.06782292e-06,2.0258254e-06,4.3280576e-06,0.012138462,0.087383508
132.2575702,665.182979705882,282.275230605882,53.7074491764706,33.7542650788235,0.0122969447058824,0.0020155622352941,1.00475504117647e-05,8.25528752941177e-07,4.45265429411765e-05,4.58442364705882e-05,7.15764064705882e-05,0.0258026476470588,0.219049347058824
147.4975039,642.16870125,281.307399316667,22.3355891666667,45.6754356208333,0.01148082,0.0018188415,7.97516558333333e-06,5.8040485e-07,2.80994266666667e-05,3.49950541666667e-05,5.90908216666667e-05,0.0297715908333333,0.248715166666667
149.3753501,641.936171384615,281.326202669231,26.7205220769231,41.2328058053846,0.0097050833076923,0.0015045411538461,6.39318661538462e-06,4.68586361538462e-07,2.34325284615385e-05,2.76928815384615e-05,4.69017553846154e-05,0.0294638015384615,0.242157123076923
157.8908095,658.694433297297,282.88894562973,27.2432289459459,51.2898359816216,0.0063939299459459,0.0009858386081081,3.98204956756757e-06,2.67122832432432e-07,1.19494912702703e-05,1.67781875135135e-05,2.98913059459459e-05,0.0216630072972973,0.173186805405405
158.4975322,641.992068333333,281.056909804762,27.8088410952381,47.1589857714286,0.0093535287142857,0.0014632077142857,6.14132242857143e-06,4.32388457142857e-07,2.0490629047619e-05,2.64982095238095e-05,4.5770460952381e-05,0.0265513795238095,0.219670442857143
158.8473112,664.982221888889,283.563282566667,26.3354725,55.3273389205556,0.0028735245555555,0.0004135776722222,1.42024953333333e-06,8.30995583333333e-08,3.35633672222222e-06,5.53621061111111e-06,1.07712753333333e-05,0.0155867011111111,0.116635065555556
171.1196627,665.25572575,283.730730775,25.0802605,57.358188790625,0.00302122975,0.000434856875,1.4686792125e-06,8.3750526875e-08,3.288768125e-06,5.662976875e-06,1.1203403375e-05,0.01647571375,0.1229855375
201.3427202,627.6380554,279.87237655,23.9847737,42.601963966,0.0104505017,0.0016534078,7.28393635e-06,5.41171995e-07,2.7100371e-05,3.2154502e-05,5.370433e-05,0.028195514,0.233681295
219.0603735,626.966407513514,279.730552710811,31.9279958108108,44.5480391948649,0.009904584027027,0.0015493945135135,6.60049872972973e-06,4.76703735135135e-07,2.33394127027027e-05,2.88032281081081e-05,4.89604559459459e-05,0.0288147327027027,0.237508324324324
232.9945876,630.694795368421,280.076672268421,27.9680507894737,60.9471122428947,0.0066730407631578,0.0010204373947368,3.78138494736842e-06,2.22136636842105e-07,8.53141152631579e-06,1.55065226315789e-05,2.96117752631579e-05,0.0235204757894737,0.188250618421053
253.3864592,617.035410541667,278.840692066667,27.597703625,62.8355798525,0.0070830145,0.0010844879583333,3.95988195833333e-06,2.25830891666667e-07,8.35170270833333e-06,1.61915616666667e-05,3.13753170833333e-05,0.0250223145833333,0.1998418125
492.3988703,600.772532871287,276.955969909901,30.8867801584158,29.5157330019802,0.0106075170792079,0.0016759225544554,7.62608191089109e-06,6.07436632673267e-07,3.3419693960396e-05,3.4345936039604e-05,5.51285927722772e-05,0.0309550201980198,0.251690206930693
1016.290657,505.076756833333,265.836879622222,54.5419192222222,26.4583434294444,0.0112097127777778,0.0018196467222222,8.50658805555556e-06,6.84356105555556e-07,3.8919755e-05,4.01056461111111e-05,6.30534738888889e-05,0.0306634038888889,0.245519905555556
