Formula	Name	Recommended Koh
CH4	Methane	6.68E-15
C2H2	Ethyne	7.50E-13
C2H4	Ethene	8.52E-12
C2H6	Ethane	2.49E-13
C3H6	Propene	2.44E-11
C3H8	Propane	1.11E-12
C4H10	n-Butane	2.38E-12
HCHO	Formaldehyde	8.50E-12
CH3CHO	Acetaldehyde	1.49E-11
C3H6O	Propanal	1.99E-11
C2H2O2	Glyoxal	9.21E-12
C6H6	Benzene	1.20E-12
C7H8	Toluene	5.60E-12
C8H10	p-Xylene	1.21E-11
HCOOH	Formic acid	4.50E-13
C2H4O2	Acetic acid	7.48E-13
C5H8	Isoprene	1.00E-10
C10H16	a-Pinene	5.30E-11
C10H16	b-Pinene	7.60E-11
C4H6O	Methacrolein	2.90E-11
C4H6O	Methyl vinyl ketone	2.00E-11
CH4O	Methanol	8.78E-13
C2H6O	Ethanol	3.33E-12
C3H6O	Acetone	1.87E-13
C4H8O	Methyl ethyl ketone	1.05E-12
C4H4O	Furan	3.83E-11
C5H6O	2-Methylfuran	7.00E-11
C5H6O	3-Methylfuran	7.00E-11
C6H8O	2,5-Dimethylfuran	1.16E-10
C5H4O2	2-Furfural 	3.50E-11
C6H6O2	5-Methylfurfural	5.10E-11
C4H4O2	Furanone	4.90E-11
C2H4O2	Glycolaldehyde	1.10E-11
C2H6S	Dimethyl sulfide	
C3H4O	Acrolein	2.17E-11
C3H4O2	Methylglyoxal	1.19E-11
C3H5NO5	PPN	1.27E-12
C3H6O2	Hydroxyacetone	5.87E-12
C4H2O3	Maleic anhydride	3.92E-13
C4H6	1,3-Butadiene	6.63E-11
C4H6O	2-Butenal	3.60E-11
C4H6O2	2,3-Butanedione	2.36E-13
C5H10O	"	2-Pentanone"	4.10E-12
C5H10O	3-Pentanone	2.00E-12
C6H6O	Phenol	2.80E-11
C6H6O2	Catechol	1.00E-10
C6H12O	Cyclohexanol	6.40E-12
C7H6O	Benzaldehyde	1.26E-11
C7H8O	o-Cresol	4.10E-11
C7H8O2	Guaiacol	5.40E-11
C7H14O	Heptanone	9.40E-12
C8H8	Styrene	5.80E-11
C8H8O	Tolualdehyde	1.89E-11
C8H10O2	Creosol	7.51E-11
C8H10O3	Syringol	8.10E-11
C9H12	1,2,3-Trimethylbenzene	3.27E-11
C9H12	Isopropylbenzene	6.30E-12
C9H12	nPropylbenzene	5.80E-12
C9H12	"	3-Ethyltoluene"	2.04E-11
C9H12	"	4-Ethyltoluene;"	1.23E-11
C9H12	1,3,5-Trimethylbenzene	5.86E-11
C9H12	2-Ethyltoluene	1.05E-11
C9H14O4	Pinic acid	7.29E-12
C10H16O3	Pinonic acid	6.65E-12
C15H24	Sesquiterpenes	1.97E-10
C3H4O2	Acrylic acid	1.70E-11
C8H10O	o-Xylenol	8.00E-11
C6H4O2	p-Benzoquinone	4.60E-12
